ID,label
0,1
2,0
3,0
5,0
7,0
9,1
11,0
13,1
14,0
15,0
16,0
18,0
21,0
22,0
26,0
27,1
33,0
35,1
37,1
40,0
41,0
42,0
43,1
44,0
46,1
47,0
48,0
49,0
51,0
52,0
55,0
56,0
58,1
59,0
60,0
61,0
62,0
66,0
68,0
69,0
71,0
73,0
75,0
78,0
79,1
80,0
81,1
82,0
83,0
86,0
87,1
90,0
92,0
93,1
94,0
96,0
97,1
99,0
100,0
101,0
103,0
109,0
110,0
112,0
113,0
114,0
120,0
121,0
122,0
123,0
126,0
127,0
128,0
129,0
130,0
131,0
133,0
134,0
136,0
137,1
138,0
139,0
141,0
145,0
146,0
148,0
150,0
151,0
153,0
154,1
155,1
157,0
160,0
162,1
163,0
165,0
166,0
167,0
168,0
170,0
172,0
173,0
174,0
175,0
176,0
179,1
180,0
182,0
190,0
191,0
194,1
195,0
198,0
201,0
202,0
206,0
208,1
210,0
212,0
213,0
216,0
217,0
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,0
231,0
232,1
233,0
234,0
236,0
237,0
238,0
243,0
247,0
249,0
250,0
251,0
253,1
254,0
255,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
267,1
270,0
274,0
275,0
276,1
277,1
279,0
280,0
282,1
284,1
285,0
286,0
287,0
288,1
289,0
292,0
293,0
295,1
296,0
297,0
298,0
300,0
305,0
306,0
307,0
308,0
314,0
318,0
319,0
320,0
322,0
323,1
324,0
325,0
327,0
328,0
329,0
331,0
332,0
333,1
334,0
336,1
337,1
338,0
339,0
340,0
341,0
345,0
346,1
347,1
348,0
349,0
350,0
352,0
355,1
356,0
358,0
359,1
361,0
363,0
364,1
367,0
369,0
371,1
372,1
373,0
379,0
380,1
387,0
388,1
389,0
393,0
394,0
397,0
398,0
400,0
401,0
404,0
405,0
406,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
421,0
424,0
425,0
427,0
428,0
430,0
431,0
432,0
433,0
435,1
436,0
438,0
439,0
441,0
442,0
443,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
453,0
455,1
456,0
458,1
459,0
460,0
463,0
464,0
465,0
466,0
467,1
469,0
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,1
484,0
485,1
486,0
488,0
489,1
490,0
491,0
492,1
494,0
496,0
497,0
499,0
500,0
502,1
504,0
505,0
506,0
508,0
509,0
511,0
513,0
515,0
517,1
518,0
519,0
520,0
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,0
532,0
533,0
534,0
535,0
536,1
537,0
538,0
541,0
544,0
545,0
546,1
549,0
550,1
552,1
555,0
560,0
561,0
562,0
563,0
564,0
565,0
569,0
570,1
571,0
572,0
575,0
577,0
578,0
579,0
580,0
582,0
583,0
584,0
586,0
587,0
588,1
589,1
590,0
592,0
593,0
594,0
595,0
596,0
598,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,1
611,0
612,0
614,0
616,0
617,0
620,0
621,0
623,0
624,0
626,1
627,0
628,0
631,0
632,0
634,0
635,0
636,0
637,0
638,0
640,0
641,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
654,0
656,0
657,0
658,0
661,0
663,1
664,0
666,0
669,0
670,0
671,1
672,0
673,1
674,0
677,1
679,0
681,0
683,0
684,0
686,0
687,0
688,0
689,1
690,0
694,0
697,0
699,0
700,0
701,0
704,0
705,0
706,0
707,0
708,0
710,0
711,0
713,0
715,0
716,0
717,0
719,0
720,0
722,0
723,0
725,0
726,0
727,1
728,1
729,0
731,0
732,0
733,0
734,0
735,1
737,0
739,0
741,0
743,0
744,0
746,0
747,0
751,0
754,0
756,1
757,0
760,0
761,0
763,0
766,0
768,0
769,0
770,0
772,0
773,0
776,0
777,0
779,0
780,1
781,1
783,1
784,0
785,0
786,0
787,0
789,0
792,0
796,0
797,0
798,0
799,0
800,0
801,0
803,0
805,0
806,0
812,0
814,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
826,0
829,0
831,0
834,0
835,0
837,0
838,1
839,1
841,0
844,0
845,0
846,0
847,0
850,0
853,0
854,0
855,0
856,0
857,1
858,0
860,0
862,0
864,0
865,0
867,0
868,0
869,0
870,1
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
885,0
886,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
901,0
905,0
907,0
908,0
910,0
911,1
912,0
913,0
914,0
915,0
916,0
918,0
919,0
921,0
922,0
925,0
926,0
928,0
930,1
932,0
937,1
939,0
941,0
946,0
947,0
951,0
952,0
953,0
955,0
958,1
959,1
960,1
961,0
962,0
963,0
966,0
967,0
968,0
969,0
970,0
971,1
972,1
976,0
978,0
979,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
991,0
993,0
995,0
996,0
998,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,1
1010,0
1014,0
1015,0
1017,1
1018,1
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1027,0
1028,0
1030,0
1031,0
1033,0
1035,0
1036,0
1037,0
1038,0
1041,1
1042,0
1043,0
1044,0
1046,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1056,0
1057,0
1058,0
1060,1
1062,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1071,0
1072,0
1074,0
1076,0
1080,0
1081,1
1082,1
1084,0
1085,1
1087,0
1088,0
1089,0
1091,1
1092,0
1093,0
1094,0
1096,0
1097,0
1099,0
1101,0
1102,0
1105,0
1106,1
1109,0
1110,1
1112,1
1115,0
1116,1
1119,0
1120,0
1122,1
1125,1
1126,0
1127,0
1129,1
1130,0
1135,0
1138,1
1139,0
1140,0
1142,0
1143,0
1144,0
1146,0
1147,0
1148,0
1149,0
1151,0
1152,0
1155,0
1156,0
1159,0
1161,0
1162,0
1166,0
1167,0
1169,1
1170,0
1171,0
1172,0
1175,0
1179,1
1182,1
1184,0
1185,0
1186,0
1189,0
1190,0
1192,0
1194,0
1196,1
1198,0
1199,0
1200,0
1201,0
1204,0
1206,0
1207,0
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1221,0
1226,0
1227,0
1229,0
1230,0
1232,0
1233,0
1234,1
1236,0
1240,0
1242,1
1244,0
1245,0
1247,0
1248,0
1250,0
1252,0
1254,0
1257,0
